,question.stem,keywords
597,"I always keep a picture of my wife in my room, where might I set it?","['room', 'wife', 'picture', 'set']"
598,Where might someone store homemade soup?,"['soup', 'store', 'homemade']"
599,What do children do after all day at school?,"['school', 'children', 'day']"
600,Where is an address label often used?,"['address', 'label', 'used']"
601,"The patient was still dying, in spite of the fact that the treatment made her what?","['patient', 'treatment', 'dying', 'fact', 'spite']"
602,"They just needed a drop, it was just a small prick of the skin on the what?","['skin', 'drop', 'prick', 'small', 'just']"
603,What is the goal for most people engaging in procreating?,"['procreating', 'people', 'engaging', 'goal']"
604,What is often wrong with the paycheck of someone doing housework?,"['housework', 'paycheck', 'wrong', 'doing']"
605,"If you see a mouse scuttling across the floor, you are almost certainly not where?","['mouse', 'floor', 'scuttling', 'certainly']"
606,"The children were fighting in their shared area and crashed down on the bean bag chair, it burst spreading it's filling all over the what?","['children', 'bag', 'chair', 'filling', 'bean']"
607,"The child was fascinated by the way the one person moved their hands, when the child saw the other person understood he too wanted to learn what?","['hands', 'child', 'fascinated', 'learn', 'saw']"
608,"The garage was small and opened right up to the main thoroughfare, where was it located?","['garage', 'thoroughfare', 'located', 'opened', 'small']"
609,"The insect needed to escape the predator on the ground, what did it do?","['insect', 'predator', 'escape', 'ground', 'needed']"
610,"The planners had just broken ground on the new locations, the aisle layout was something they had to consider while what?","['aisle', 'planners', 'layout', 'locations', 'ground']"
611,Where might a person get fungus?,"['fungus', 'person']"
612,What might someone do with 52 things out of boredom?,"['things', 'boredom', '52']"
613,If a train is ahead of schedule it is likely to do what?,"['train', 'schedule', 'likely', 'ahead']"
614,"If a person is in the middle of a track during a race with a clock, what are they likely doing?","['track', 'clock', 'race', 'person', 'likely']"
615,"The birds stay in the nest, waiting for their kids to do what?","['birds', 'nest', 'kids', 'waiting', 'stay']"
616,"A bird is in the sky, looking around, what is it looking for?","['bird', 'sky', 'looking']"
617,What can the sun turn a muddy patch into?,"['muddy', 'sun', 'patch', 'turn']"
618,"When someone is talking but its too low, you tell them to do this louder?","['louder', 'talking', 'low', 'tell']"
619,"The man wanted an authentic pastrami deli restaurant, where should he go get one?","['deli', 'pastrami', 'restaurant', 'authentic', 'man']"
620,Where would a clerk give you some keys?,"['clerk', 'keys']"
621,A grain of sad becomes the core of something precious inside of what?,"['grain', 'precious', 'core', 'sad', 'inside']"
622,"The bachelor didn't have much furniture, but it at least made his small what look more spacious?","['furniture', 'bachelor', 'spacious', 'small', 'look']"
623,What sort of vendor sells an assortment of fruits such as grapes in an outside location?,"['grapes', 'fruits', 'vendor', 'assortment', 'outside']"
624,Where would you put an iron after you use it?,"['iron', 'use']"
625,"It was now her time to take stand in the trial, she swore to what?","['trial', 'swore', 'stand', 'time']"
626,"Death has a relationship to everyone, what is that relationship?","['death', 'relationship']"
627,What is it called when you remember something?,"['remember', 'called']"
628,"If you were on safari in this country and saw a gazelle, where would you be?","['gazelle', 'safari', 'country', 'saw']"
629,"After jumping up and down and starting to sweat, what sensation would you be feeling?","['sweat', 'jumping', 'feeling', 'sensation', 'starting']"
630,A beaver is unlikely to be found in what?,"['beaver', 'unlikely']"
631,What do you need to do before you eat vegetables?,"['vegetables', 'eat', 'need']"
632,"His faith was often tested, but he put what in the gospel and where it would take him?","['gospel', 'faith', 'tested']"
633,"Where do many people live along with their neighbors, outside of the city center?","['neighbors', 'city', 'outside', 'center', 'people']"
634,where do nerds keep a pen?,"['pen', 'nerds']"
635,"When learning about the world, if you really want to understand the current situation, you should learn history and this requires what?","['history', 'learning', 'learn', 'current', 'requires']"
636,What might a field filled with flowers be called?,"['flowers', 'field', 'filled', 'called']"
637,"James was not an orthodox person.  Whenever he was asked to conform, he responded in what way?","['james', 'orthodox', 'conform', 'asked', 'responded']"
638,How do fast moving children affect adults?,"['children', 'adults', 'affect', 'moving', 'fast']"
639,What did people with a good conscience do in the 1800s?,"['1800s', 'conscience', 'people', 'good', 'did']"
640,Where could you see a mammoth?,['mammoth']
641,"the gambler was attempting bring suit against the slot machine manufacturer, he claimed the odds were fixed and the machine didn't have true what?","['gambler', 'odds', 'slot', 'machine', 'manufacturer']"
642,"He was competing for the third time, he really enjoyed what?","['competing', 'time', 'enjoyed', 'really']"
643,"When he screws in a cable, what is he fixing?","['screws', 'cable', 'fixing']"
644,What prevents someone from learning language?,"['language', 'learning', 'prevents']"
645,Where is the gift shop that people by city souvenirs at?,"['shop', 'souvenirs', 'city', 'gift', 'people']"
646,Where is the closest place you might find a yoyo?,"['yoyo', 'closest', 'place']"
647,"Even after discovering the truth, what did the stalwart child exhibit?","['child', 'stalwart', 'discovering', 'truth', 'exhibit']"
648,"He enjoyed chatting with friends honestly, they were all true friends and didn't need any what from each other?","['friends', 'chatting', 'honestly', 'didn', 'enjoyed']"
649,What place might a child feel secure?,"['place', 'secure', 'child', 'feel']"
650,What is likely to have metal feet?,"['metal', 'feet', 'likely']"
651,Sally and James bought new shirts and packed them. Where might have they packed their shirts?,"['shirts', 'packed', 'sally', 'james', 'new']"
652,What is someone likely to feel after wrongly judging someone?,"['judging', 'wrongly', 'feel', 'likely']"
653,Tim had a small gas stove.   He cooked on it a lot.  Where would Tim have a small gas stove?,"['stove', 'gas', 'tim', 'cooked', 'small']"
654,How could someone go to work?,['work']
655,Where is the safest place for eyeglasses?,"['eyeglasses', 'safest', 'place']"
656,"Be aware of our own mortality is hard for many, for some of those believing in their god can what?","['mortality', 'god', 'believing', 'aware', 'hard']"
657,What is a place with many walls that could have a chess board?,"['walls', 'board', 'chess', 'place']"
658,"Bob read the magazine while he waited in line.  He wanted to get a novel, but he didn't want to read it here.  Where is he?","['bob', 'magazine', 'waited', 'novel', 'read']"
659,Where do you see signs showing you where to set up a tent?,"['tent', 'signs', 'showing', 'set']"
660,Why do philosophers spend so much time learning about the world?,"['philosophers', 'learning', 'world', 'time', 'spend']"
661,What could happen if you are listening to someone who is answering questions with very long sentences?,"['sentences', 'listening', 'long', 'answering', 'questions']"
662,Where might just one map be kept?,"['map', 'kept', 'just']"
663,Where could you see some chocolate that is not real?,"['chocolate', 'real']"
664,James is writting a program but he doesn't understand why it's giving him the output that it is.  He knows that complex code can often produce what?,"['code', 'program', 'writting', 'output', 'complex']"
665,"The lizard wanted to learn about the world, where did it look?","['lizard', 'look', 'world', 'learn', 'did']"
666,What does a person have to do before going to work?,"['work', 'person', 'going', 'does']"
667,"He was making friends from all walks of life, he liked to keep an what about everyone?","['friends', 'life', 'liked', 'walks', 'making']"
668,What makes a human similar to a sea sponge?,"['sponge', 'sea', 'human', 'similar', 'makes']"
669,Where would you put a wedding ring after proposing?,"['ring', 'proposing', 'wedding']"
670,Where could a car become damaged and need a mechanic?,"['car', 'mechanic', 'damaged', 'need']"
671,What might someone do as a hobby that will keep them from being cold?,"['cold', 'hobby']"
672,WHat doesn't often happen to trees naturally?,"['trees', 'naturally', 'happen', 'doesn']"
673,Most everyone at least partially agrees on some basic human what that society has?,"['society', 'human', 'basic', 'agrees', 'partially']"
674,Where would you find a forest that has a large amount of rain?,"['forest', 'rain', 'large']"
675,"A gentleman was giving a tour of the greatest palaces and museum, where was he giving them>","['palaces', 'museum', 'tour', 'gentleman', 'giving']"
676,If you raise food animals where would you put a shed?,"['shed', 'animals', 'food', 'raise']"
677,"The man made a living using computer to create software, everybody at work uses a what by him?","['computer', 'software', 'work', 'uses', 'using']"
678,"Sam pretended to go to work every day, because he couldn't tell his wife about his what?","['sam', 'pretended', 'wife', 'work', 'couldn']"
679,Where does a street performer keep their harmonica?,"['harmonica', 'performer', 'street', 'does']"
680,What would be the result of hiring cooks?,"['cooks', 'hiring', 'result']"
681,What periodical has articles and pictures?,"['articles', 'periodical', 'pictures']"
682,What American area is likely to have many kosher restaurants?,"['restaurants', 'kosher', 'american', 'area', 'likely']"
683,What is a place that you can usually see a pillow in regardless of where you are in it?,"['pillow', 'place', 'usually', 'regardless']"
684,Where can someone pick up a drug from a licensed professional?,"['drug', 'licensed', 'professional', 'pick']"
685,What becomes more prevalent on white people as they spend more time in the sun?,"['sun', 'white', 'prevalent', 'people', 'time']"
686,Where do the best athletes go?,"['athletes', 'best']"
687,What are students getting when they read book in school?,"['book', 'school', 'students', 'read', 'getting']"
688,Politicians run what part of the country?,"['politicians', 'country', 'run']"
689,What is fancy mustard stored in?,"['mustard', 'stored', 'fancy']"
690,Where are you likely to find a large closet?,"['closet', 'large', 'likely']"
691,"The surgeon traced the nerve to its source, where did he end up?","['nerve', 'surgeon', 'traced', 'source', 'end']"
692,What do you get the day after drinking a lot of alcohol?,"['alcohol', 'drinking', 'day', 'lot']"
693,"She insisted it would be entertaining, but still some felt what?","['entertaining', 'felt', 'insisted']"
694,"If a person works hard and applies themselves, what is the end result for them?","['result', 'applies', 'person', 'hard', 'works']"
695,Where would a police officer be likely to stop a car?,"['police', 'car', 'officer', 'stop', 'likely']"
696,What waiting area is typically next to a trash can?,"['trash', 'waiting', 'area', 'typically']"
697,What do you typically need to keep spitting up when youi're sick?,"['spitting', 'sick', 'need', 'typically', 'youi']"
698,Where may a Jewish person go to worship?,"['worship', 'jewish', 'person']"
699,"Over one hundred thousand fans filled the stadium to watch the football field, it was a big rivalry match up for the what?","['stadium', 'rivalry', 'football', 'fans', 'match']"
700,Where should you take a crab delivery invoice?,"['invoice', 'delivery', 'crab']"
701,What likely has one bench?,"['bench', 'likely']"
702,Where would you find an audience watching football?,"['football', 'audience', 'watching']"
703,"There were endless things to see during the trip, but the child's favorite exhibit was the mammoth at where?","['mammoth', 'exhibit', 'trip', 'child', 'endless']"
704,If a ferret was being affected by a hurricane in September 2018 he probably lives where?,"['hurricane', 'ferret', 'september', 'affected', 'probably']"
705,In an Irish pub what is likely to happen when people are drinking alcohol?,"['alcohol', 'drinking', 'irish', 'pub', 'people']"
706,"She dug quarters out of her jeans to wash her jeans, the next couple hours would be spent where?","['jeans', 'wash', 'quarters', 'hours', 'spent']"
707,What does a cat do when the sun is on it?,"['sun', 'cat', 'does']"
708,What old type of building is likely to have no ventilation system?,"['ventilation', 'building', 'old', 'type', 'likely']"
709,What does a person do after a long day of work?,"['work', 'day', 'long', 'person', 'does']"
710,Name some mediums for literature.,"['literature', 'mediums']"
711,"Danny knew they were talking, but he couldn't make out what they were saying. He wished he could read lips.   At this distance he couldn't even be sure if they were doing what?","['danny', 'talking', 'lips', 'distance', 'couldn']"
712,What do people do when they are enjoying the process of procreate?,"['procreate', 'enjoying', 'process', 'people']"
713,A shareholder in a manufacturing firm is part owner of what structure that creates products?,"['shareholder', 'manufacturing', 'owner', 'creates', 'products']"
714,What is the place in the atlantic ocean where its tectonic plates meet?,"['tectonic', 'ocean', 'plates', 'atlantic', 'place']"
715,Where would you see a weasel that is not real?,"['weasel', 'real']"
716,"It only had one bedroom but that was fine for the bachelor, he paid for the month at the what?","['bedroom', 'bachelor', 'month', 'paid', 'fine']"
717,What differentiates humans from each other?,"['humans', 'differentiates']"
718,Where can you find a plastic mouse?,"['mouse', 'plastic']"
719,"Jake didn't know the name of his father, so he just put what into the search?","['jake', 'father', 'search', 'know', 'didn']"
720,"Mom wanted to make her son's birthday party entertaining, so what did she provide?","['party', 'mom', 'birthday', 'entertaining', 'son']"
721,where do you find dry seaweed ?,"['seaweed', 'dry']"
722,A crab is scurry along the shore where it can be seen where is it?,"['crab', 'shore', 'scurry', 'seen']"
723,What happens when we don't succeed at something we attempt?,"['succeed', 'attempt', 'happens', 'don']"
724,Friends come and go but true friendships never what?,"['friendships', 'friends', 'true', 'come']"
725,"Waiting for the results require doing the same thing over and over, he didn't think it was necessary and found the task what?","['task', 'results', 'waiting', 'think', 'didn']"
726,Where would you find a fast food restaurant along side other merchants out of doors?,"['restaurant', 'merchants', 'doors', 'food', 'fast']"
727,What does a person at a charity have?,"['charity', 'person', 'does']"
728,"There was nothing to do, so the child was using television, why would he do that?","['television', 'child', 'using']"
729,"The woman lost her keys, where should she look?","['woman', 'keys', 'lost', 'look']"
730,Where in an excavation would you need a flashlight to see?,"['flashlight', 'excavation', 'need']"
731,What do people want to spend time talking to their elders?,"['elders', 'talking', 'people', 'time', 'want']"
732,Text on a page will do what if exposed to sunlight for too long?,"['text', 'sunlight', 'page', 'exposed', 'long']"
733,Where does a poet go when they're done at work?,"['poet', 'work', 'does']"
734,Where would you use a floral rubber stamp?,"['stamp', 'floral', 'rubber', 'use']"
735,How can a person makes sure they aren't overtired?,"['overtired', 'person', 'aren', 'makes', 'sure']"
736,"They were at a museum for the band kiss, their what was a huge fan?","['museum', 'fan', 'band', 'kiss', 'huge']"
737,james doesn't like seeing people play games.  He doesn't have any what in it?,"['james', 'play', 'games', 'like', 'seeing']"
738,What is required if you want to make a purchase when shopping?,"['shopping', 'purchase', 'required', 'want', 'make']"
739,Where do homeless people take shelter?,"['homeless', 'shelter', 'people']"
740,What can't ants do that other bugs can?,"['ants', 'bugs']"
741,"John was an urban citizen, he didn't know how to deal with the what?","['john', 'urban', 'citizen', 'didn', 'know']"
742,Bobby bought a lot of new clothing. When he got home he put the clothes on hangers and stored them where?,"['hangers', 'clothes', 'clothing', 'stored', 'bobby']"
743,John  wanted some grapes and went looking for the. He found some California grapes in several what?,"['grapes', 'california', 'john', 'looking', 'went']"
744,Promotional literature is often handed out at what work gathering?,"['promotional', 'gathering', 'literature', 'work', 'handed']"
745,"The parents were listening when their kids complained, what was their goal?","['parents', 'kids', 'complained', 'listening', 'goal']"
746,What type of show are the people going to see?,"['people', 'going', 'type']"
747,"A bird flew but couldn't find any building to land on, where was it?","['bird', 'land', 'flew', 'building', 'couldn']"
748,Why would a gardener want rain?,"['gardener', 'rain', 'want']"
749,Where can you see a showroom that does not exist?,"['showroom', 'exist', 'does']"
750,Sports don't have to be for a prize they can just be what?,"['sports', 'prize', 'just', 'don']"
751,"The lizard had stowed away aboard the RV as the family traveled to the beach for vacation, the extremely popular beach was located where?","['lizard', 'beach', 'rv', 'located', 'vacation']"
752,What organization is likely to work with explosives?,"['explosives', 'organization', 'work', 'likely']"
753,"James saw a person in the street.  He tried to give them some change, but they didn't want it.  Instead they told him that they didn't need anything because they had protection.  What might they have meant?","['protection', 'meant', 'street', 'james', 'change']"
754,If you want to meet people who share one of your hobbies you can do what which also lets you learn more about your hobby?,"['hobbies', 'hobby', 'meet', 'share', 'people']"
755,What is a healthy reason for walking?,"['walking', 'healthy', 'reason']"
756,"The soldier was given honour but he struggled being the only one who survived, he felt like he had shown fear and what?","['soldier', 'honour', 'survived', 'fear', 'felt']"
757,Where do you use a printer for the morning paper?,"['printer', 'paper', 'morning', 'use']"
758,"He told everybody to shut up and listen, with everybody quiet they began to what in the distance?","['quiet', 'listen', 'distance', 'began', 'shut']"
759,John loaded the projectile ball into his weapon. What type of weapon might it be?,"['weapon', 'projectile', 'ball', 'john', 'loaded']"
760,Where is someone likely to be unhappy to find a mouse nibbling on snacks?,"['mouse', 'nibbling', 'snacks', 'unhappy', 'likely']"
761,"When going to a party, what did the agoraphobic person fear?","['agoraphobic', 'fear', 'party', 'person', 'going']"
762,What might happen with too much learning?,"['learning', 'happen']"
763,What can happen if you are dreaming when you should be watching your surroundings?,"['dreaming', 'watching', 'surroundings', 'happen']"
764,"John had a great deal of curiosity about all things.  So when all of his friends were getting jobs, he decided to continue doing what?","['john', 'curiosity', 'jobs', 'things', 'friends']"
765,What happens when spending money without paying someone back?,"['spending', 'paying', 'money', 'happens']"
766,"A car was going from a full stop to pulling on to an on ramp, what must it have done?","['ramp', 'car', 'pulling', 'stop', 'going']"
767,"James was sitting quietly in a hard metal chair with sharp edges.  He wanted to express something, but remained silent due to fear of annoying others.  What didn't he express?","['silent', 'quietly', 'james', 'fear', 'chair']"
768,Which city's baseball stadium does the team who won the world series in 2016 play?,"['stadium', 'baseball', 'city', '2016', 'won']"
769,What could a condominium be?,['condominium']
770,What is the opposite of someone who is mighty and powerful?,"['mighty', 'powerful', 'opposite']"
771,A person that is out of shape might experience what physical effect while running after ball?,"['running', 'ball', 'shape', 'physical', 'effect']"
772,Where do families usually enjoy food?,"['families', 'food', 'usually', 'enjoy']"
773,"The police moved in to rescue the little girl, it was a good ending to the what?","['ending', 'rescue', 'police', 'little', 'girl']"
774,"The park was packed, he came to contemplate but it was clear he was going to what?","['park', 'contemplate', 'clear', 'packed', 'going']"
775,"The house didn't have a driveway, so where did its inhabitants have to park?","['driveway', 'park', 'house', 'inhabitants', 'didn']"
776,"The story started out good, but it was terrible.  How might you describe the story?","['story', 'terrible', 'started', 'good']"
777,Mary is changing into a period costume in her dressing room.  What sort of building is she most likely in?,"['mary', 'dressing', 'room', 'building', 'costume']"
778,"Grim sure, but living things will what?","['grim', 'living', 'things', 'sure']"
779,Where can you find little packets of mustard?,"['mustard', 'packets', 'little']"
780,There was too much dirt being tracked in from the unpaved road.  The what was covered with it?,"['dirt', 'road', 'unpaved', 'tracked', 'covered']"
781,"The night owl begin coo his song as night fell, the songbirds of the day, such as the what, took a rest?","['songbirds', 'owl', 'night', 'song', 'rest']"
782,"Danny couldn't find the novel he wanted in his local bookshop or any other stores near him, so he decided to drive where to look for it?","['bookshop', 'novel', 'danny', 'drive', 'stores']"
783,The CEO is kind of like the president of a what?,"['ceo', 'president', 'like', 'kind']"
784,Sarah was very slow at making judgments.  She didn't like being what?,"['sarah', 'judgments', 'slow', 'making', 'like']"
785,"The snake generally left people alone, but what kinds of hikers did it bite?","['snake', 'hikers', 'bite', 'people', 'kinds']"
786,Where does the weasel go pop?,"['weasel', 'pop', 'does']"
787,A person specializing in computer science and using a computer will likely be doing what?,"['computer', 'specializing', 'using', 'science', 'person']"
788,What do you want to show by thanking someone?,"['thanking', 'want']"
789,Remembering your parents death can lead to what?,"['remembering', 'parents', 'death', 'lead']"
790,What does having sex in a marriage lead to?,"['sex', 'marriage', 'having', 'does', 'lead']"
791,What country on the coast of Europe is the setting of Hamlet?,"['hamlet', 'europe', 'coast', 'country', 'setting']"
792,Where can travellers go to catch a flight?,"['flight', 'travellers', 'catch']"
793,"The merchant had to open up shop, what kind of license did he apply for?","['license', 'merchant', 'shop', 'open', 'kind']"
794,Where does toilet water go in a house?,"['toilet', 'water', 'house', 'does']"
795,What was my neighbor growing a plant behind his house for before he got arrested for it?,"['plant', 'neighbor', 'arrested', 'growing', 'house']"
796,Where does you nearest neighbor live?,"['neighbor', 'nearest', 'live', 'does']"
797,"The couple was having fun with the activity, when they won they celebrated with a what?","['couple', 'won', 'celebrated', 'fun', 'having']"
798,Where would you find a ficus in a hotel?,"['ficus', 'hotel']"
799,"In times of peace, in what building is it most likely that one encounters death?","['death', 'peace', 'encounters', 'building', 'times']"
800,James thought that killing people was dangerous.  He didn't want to waste his life by doing what?,"['james', 'killing', 'dangerous', 'life', 'waste']"
801,"Even if he tried to print it was still chicken scratch to others, his what was just illegible?","['illegible', 'print', 'scratch', 'chicken', 'tried']"
802,"He had been a janitor for years, so long that the toilet no longer even what?","['toilet', 'janitor', 'years', 'longer', 'long']"
803,Who would have a wound on their body?,"['wound', 'body']"
804,Where are you likely to find only a bar stool for seating?,"['seating', 'bar', 'stool', 'likely']"
805,"It was hours before his performance, he set up his music stand on stage and stared out into the empty what?","['stage', 'music', 'stand', 'stared', 'set']"
806,"After perusal, a magazine will need such a resting place.","['magazine', 'perusal', 'place', 'resting', 'need']"
807,What do students who are crossing guards help other students do?,"['guards', 'students', 'crossing', 'help']"
808,"The bookworm would read book after book, she found the pastime what?","['bookworm', 'book', 'pastime', 'read']"
809,Many singers might have to do this at some point?,"['singers', 'point']"
810,Where do people often go to leave?,"['leave', 'people']"
811,Bob awakens in his bed.  His head is pounding from the alcohol he had last night but he has work to do and is determined to get it done.  What's the first thing he does?,"['bob', 'bed', 'work', 'alcohol', 'head']"
812,A contralto is a singer in what type of group?,"['contralto', 'singer', 'group', 'type']"
813,What would I call a bunch of people I see in an auditorium?,"['auditorium', 'people', 'bunch']"
814,Where do you find an undiscovered river?,"['river', 'undiscovered']"
815,Trees form what in the spring which eventually sprout leaves?,"['trees', 'sprout', 'leaves', 'spring', 'eventually']"
816,"She was becoming inebriated, so what happened after stumbling on the cobblestone?","['cobblestone', 'inebriated', 'stumbling', 'happened']"
817,What could cause your hiking trip to continue indefinitely?,"['hiking', 'trip', 'indefinitely', 'continue', 'cause']"
818,"He began to eat dinner, suddenly he stood up in a startle because he was starting to what?","['dinner', 'startle', 'eat', 'stood', 'suddenly']"
819,What would a friend do if they wanted to a new car but couldn't afford it?,"['car', 'afford', 'friend', 'couldn', 'new']"
820,"The referee was confused. There was no ice on the field, this wasn't what he expected.  But the stands were full of rowdy fans, he just had to read the rule book really quickly and figure out what those two big forks were for.   What game might he be officiating?","['officiating', 'referee', 'forks', 'game', 'field']"
821,What does committing suicide cause?,"['suicide', 'committing', 'cause', 'does']"
822,Where would you find out what a marmoset is?,['marmoset']
823,"Before going into a trance, a hypnotist will ask you to make sure you have what?","['hypnotist', 'trance', 'ask', 'sure', 'going']"
824,Where are there usually a variety of peanut butter?,"['peanut', 'butter', 'variety', 'usually']"
825,Where might one fight a map of the world?,"['map', 'world', 'fight']"
826,"Sill thought that the channel would be fun to swim acroll, but she really just wanted to change the channel because she didn't like what was on.  What was Sill doing?","['channel', 'sill', 'swim', 'fun', 'change']"
827,Dogs get in heat when they feel it is time to what?,"['dogs', 'heat', 'time', 'feel']"
828,What does a company do when they need to add new business?,"['business', 'company', 'new', 'add', 'need']"
829,After scoring the person what?,"['scoring', 'person']"
830,How can a passenger get in the air?,"['passenger', 'air']"
831,Where would you go if you need some groceries?,"['groceries', 'need']"
832,"Some schools give an incentive to kids, if they read their books they can what?","['books', 'read', 'incentive', 'schools', 'kids']"
833,"If there is a source of light, a person will do what opposite of it?","['light', 'opposite', 'person', 'source']"
834,What do you clean dust off of to see more clearly?,"['dust', 'clean', 'clearly']"
835,How can a solicitor help in gaining an asset?,"['solicitor', 'asset', 'gaining', 'help']"
836,"As he contemplated the stars, James felt that he wanted to visit them, to fly into what?","['james', 'stars', 'fly', 'visit', 'felt']"
837,Tim thought that helping people was nice.  He believed that it would make you what?,"['tim', 'helping', 'people', 'believed', 'make']"
838,What room is a spider likely to be found in?,"['spider', 'room', 'likely']"
839,Where do you find a librarian type at the cash register?,"['librarian', 'type', 'cash', 'register']"
840,"The horse wanted to graze, where did it need to go?","['horse', 'graze', 'need', 'did', 'wanted']"
841,"She was always living paycheck to paycheck, when she would get money she would what?","['paycheck', 'money', 'living']"
842,"When I cook, what is the first step to take to get my item out of its cylinder container?","['cylinder', 'container', 'cook', 'item', 'step']"
843,"When you watch a film and want to figure out a crime, you need to?","['crime', 'film', 'watch', 'figure', 'need']"
844,Where should a finger not go?,['finger']
845,"The showroom featured slot machines, where was it located?","['showroom', 'slot', 'located', 'machines', 'featured']"
846,The ball escaped from their yard.  What did the ball do?,"['ball', 'yard', 'escaped', 'did']"
847,How is cheese likely to be served at a restaurant?,"['cheese', 'restaurant', 'served', 'likely']"
848,"It was a fun place to meet people, everybody was very what?","['place', 'fun', 'people', 'meet', 'everybody']"
849,What could someone be doing if he or she is sitting quietly with his or her eyes open and nothing is in front of him or her?,"['sitting', 'quietly', 'eyes', 'doing', 'open']"
850,What is often the end result of relaxing?,"['relaxing', 'result', 'end']"
851,What is the lowest point of pain that running would cause?,"['running', 'pain', 'lowest', 'cause', 'point']"
852,What do you usually call a person by?,"['person', 'usually']"
853,"If a terrorist wanted to blow something up, where would they keep their bomb?","['bomb', 'terrorist', 'blow', 'wanted']"
854,John downed a glass table.  When he was setting his cup on the table he noticed something. What mgith he have noticed?,"['glass', 'table', 'noticed', 'john', 'cup']"
855,Where do many people choose not own a car?,"['car', 'people', 'choose']"
856,What do you call the person in charge of a project that you are working on?,"['project', 'person', 'working', 'charge']"
857,Where is shelf stable food stored?,"['shelf', 'stored', 'food', 'stable']"
858,"The janitors job today was a break for the normal, he got to set up many a music stand for the entire what performing that night?","['janitors', 'performing', 'music', 'job', 'break']"
859,What position are people in typically when they watch tv?,"['tv', 'position', 'typically', 'watch', 'people']"
860,What effect of tickling can be misconstrued as fun even in the person wants it to stop?,"['tickling', 'fun', 'stop', 'effect', 'person']"
861,"When given two options, he chose the latter, what did he disregard?","['chose', 'options', 'disregard', 'given', 'did']"
862,"The country has deserts, forests, and plains; You could say it has many a what?","['deserts', 'plains', 'forests', 'country', 'say']"
863,What is the final step of going to buy something?,"['buy', 'final', 'step', 'going']"
864,"A dictator wants to rule the country, but isn't popular, so how does he achieve this?","['dictator', 'country', 'popular', 'achieve', 'wants']"
865,We don' understand how thinking works or why we do it.  It's a what?,"['thinking', 'understand', 'works', 'don']"
866,What kind of bike could you use to get in shape?,"['bike', 'shape', 'use', 'kind']"
867,Where is the best place for nice clothes?,"['clothes', 'place', 'best', 'nice']"
868,What is the goal of having the right amount of food?,"['food', 'having', 'goal', 'right']"
869,What country is known for it's tigers?,"['tigers', 'country', 'known']"
870,What is necessary for someone who is remembering the answer to a question?,"['remembering', 'answer', 'question', 'necessary']"
871,Where do you keep apples?,['apples']
872,James was getting in the line because he wanted to get tickets.  Getting tickets was his what?,"['tickets', 'james', 'line', 'getting', 'wanted']"
873,"He took his seat on the tour bus, it would be travelling through where?","['bus', 'travelling', 'tour', 'seat', 'took']"
874,"Sometimes dreaming can be seem very real, a shock during it can even cause you to what?","['dreaming', 'shock', 'real', 'cause']"
875,"There still may be many undiscovered species of lizard in the jungle, especially on what continent?","['lizard', 'species', 'continent', 'jungle', 'undiscovered']"
876,"The lawyers entered the courthouse in Lansing, what state were they in?","['lansing', 'courthouse', 'lawyers', 'state', 'entered']"
877,"Alzheimer's was affecting her short term memory, in day to day tasks she was suffering what?","['alzheimer', 'memory', 'affecting', 'tasks', 'suffering']"
878,"You will find string, brass, percussion, and wind sections in what large group of performers?","['performers', 'percussion', 'sections', 'brass', 'string']"
879,John needed to get ready to work so he  put on his freshly washed jeans.  Where was he probably at when he put on his jeans?,"['jeans', 'john', 'washed', 'work', 'freshly']"
880,why do people choose going to party?,"['party', 'people', 'choose', 'going']"
881,Judy lay on the examination table.  She fell off of her bed during vigorous sex and feels like she broke something.  Where might she be?,"['judy', 'bed', 'fell', 'examination', 'sex']"
882,"They had finished baking the cookies for class, the mother told her daughter to get the plastic container out of the what?","['container', 'plastic', 'cookies', 'baking', 'daughter']"
883,Where would you put jewelry if you want to bring it with you?,"['jewelry', 'bring', 'want']"
884,It was getting very late and James needed to clean off the junk that covered what?,"['james', 'clean', 'junk', 'late', 'covered']"
885,What facial expression shows your open to making friends?,"['friends', 'facial', 'expression', 'open', 'shows']"
886,Where would you get some fungus if you are hungry?,"['fungus', 'hungry']"
887,"When you're making no progress while competing against someone, what might you feel?","['competing', 'progress', 'feel', 'making']"
888,"He brought an umbrella for a beach visit after the business meeting, where did he keep it?","['umbrella', 'beach', 'meeting', 'business', 'visit']"
889,"He had an interest in a work by a new director, what did he want to do?","['director', 'work', 'new', 'want', 'did']"
890,"The athletes were sore and sweaty after working out at the gymnasium, where did they want to go afterward?","['gymnasium', 'athletes', 'sweaty', 'sore', 'afterward']"
891,You can use a cup to build a castle tower when playing in a what?,"['castle', 'tower', 'build', 'cup', 'playing']"
892,What will happen after running for a long time without drinking any water?,"['water', 'running', 'drinking', 'long', 'time']"
893,What can learning about world lead to ?,"['learning', 'world', 'lead']"
894,"If a person wants to publicly express themselves, what can they write?","['write', 'publicly', 'person', 'wants', 'express']"
895,If you do well at an interview after applying for a job what do you want to receive?,"['interview', 'applying', 'job', 'receive', 'want']"
896,Where do people take their frying pans after purchase?,"['pans', 'frying', 'people', 'purchase']"
897,Where might people gather to share information?,"['gather', 'information', 'share', 'people']"
898,If a person it talking to you what should you be doing?,"['talking', 'person', 'doing']"
899,What does a guilty person do in a courtroom?,"['courtroom', 'guilty', 'person', 'does']"
