,question.stem,keywords,answer
579,"If you wanted to show off silk, what item could it be on?","['silk', 'item', 'wanted']",expensive clothing
580,Where is known to be a wealth of information?,"['information', 'wealth', 'known']",library
581,"I saw the receptionist carelessly toss my resume into the drawer, where did I want it to end up?","['receptionist', 'drawer', 'resume', 'carelessly', 'saw']",office desk
582,What will happen if you inject water into yourself?,"['water', 'inject', 'happen']",thin blood
583,Athletes soak in hot tubs to relieve what after playing baseball?,"['tubs', 'soak', 'athletes', 'baseball', 'relieve']",sore muscles
584,What does a gambler do that causes him or her to be unhappy?,"['gambler', 'unhappy', 'causes', 'does']",lose money
585,"There's one obvious reason to eat vegetables, they're plain what you?","['vegetables', 'plain', 'eat', 'obvious', 'reason']",good for
586,"John was a bit think in the head, but he knew that he never saw the lady before.  They were what?","['john', 'think', 'saw', 'lady', 'head']",unacquainted
587,Where would you hear a violin along side many string and wind instruments?,"['violin', 'instruments', 'wind', 'string', 'hear']",orchestra
588,What is the sun ultimately responsible for?,"['sun', 'responsible', 'ultimately']",life on earth
589,Mandy lived in a train station.  She longed to see distant places. Where might she imagine going?,"['mandy', 'train', 'station', 'distant', 'places']",europe
590,"Joe is a  squirrel, which is an animal. He probably lives in what sort of place.","['joe', 'squirrel', 'animal', 'place', 'sort']",woodland
591,Where could a personal ficus live?,"['ficus', 'personal', 'live']",front yard
592,"The shark actually counted as evidence, so where did the legal team bring it?","['shark', 'evidence', 'legal', 'bring', 'team']",court room
593,"If the president wanted to ban snakes, where would he issue such a decree?","['snakes', 'president', 'decree', 'ban', 'wanted']",white house
594,"They were searching for rocks, so they missed the birds overhead as they stared at the what?","['birds', 'stared', 'searching', 'rocks', 'missed']",ground
595,"Her son scraped his knee, she fetched a bottle of peroxide from the what?","['peroxide', 'bottle', 'son', 'knee', 'scraped']",medicine cabinet
596,Where would you expect to find a dictionary along side other writings you can borrow?,"['dictionary', 'writings', 'borrow', 'expect']",library
597,What would be necessary for getting in shape?,"['shape', 'getting', 'necessary']",exercise
598,A statue that shoots liquid is called a what?,"['statue', 'liquid', 'shoots', 'called']",water fountain
599,If you have a child who gets in trouble for being hyperactive you may need to teach them how to what down?,"['hyperactive', 'child', 'teach', 'gets', 'need']",calm
600,John loved to paint houses.  How did he usually do it?,"['paint', 'houses', 'john', 'loved', 'did']",with brush
601,When you wipe you feet on the door mat and walk through the door where do you enter?,"['door', 'wipe', 'feet', 'mat', 'walk']",living room
602,What can you use to store a book while traveling?,"['book', 'traveling', 'store', 'use']",suitcase
603,Where would you find gazelle under a G?,['gazelle'],encyclopedia
604,"Competing can lead to great highs, and also great lows when suffering what?","['competing', 'suffering', 'lows', 'highs', 'lead']",defeat
605,What blocks sunshine?,"['sunshine', 'blocks']",moon
606,When you feel too much heat in your home you can turn on what?,"['heat', 'home', 'turn', 'feel']",air conditioning
607,Where would you store a pillow case that is not in use?,"['pillow', 'store', 'case', 'use']",drawer
608,"If the kitten was going to grow up to be a mouser like it's mother, where should it spend most of it's time?","['kitten', 'mouser', 'mother', 'time', 'spend']",farmhouse
609,Where is that man buying silk from?,"['silk', 'buying', 'man']",china
610,Where is a teacher likely to keep her clavichord?,"['teacher', 'clavichord', 'likely']",music room
611,Where are you if your bieifcase is going through an x-ray machine?,"['machine', 'ray', 'bieifcase', 'going']",airport
612,"They were kissing each other good bye, they had no worries because their relationship had a strong foundation of what?","['relationship', 'kissing', 'foundation', 'worries', 'bye']",trust
613,Why would you take a bus to work?,"['bus', 'work']",commute
614,"If you are hungry and going fishing, why would you be going fishing?","['fishing', 'hungry', 'going']",catching fish
615,"Dogs are very loyal if they have a good owner, they will always what them?","['loyal', 'dogs', 'owner', 'good']",defend
616,What does a farmer need to do to make  a maze on his farm in the fall?,"['farm', 'maze', 'farmer', 'make', 'fall']",grow corn
617,"For many males hair is a concern as they get older, it begins to what, causing a receding hairline?","['hairline', 'hair', 'receding', 'males', 'older']",fall out
618,What happens someone who is bad play poker?,"['poker', 'play', 'bad', 'happens']",losing money
619,"John loved his snake.  It was the only ting he loved. He hated everyone else and was abrasive to most people, but he loved his snake.   How might you describe the snake?","['snake', 'abrasive', 'john', 'hated', 'loved']",pet
620,"The fresh herbs, flowers, and vegetables will shrivel up if people don't do this?","['vegetables', 'shrivel', 'herbs', 'flowers', 'fresh']",water plants
621,"I picked from an apple tree outside of Fort Wayne, where am I?","['tree', 'apple', 'fort', 'outside', 'wayne']",indiana
622,"The janitor never had much to clean after services, but there was still always a paper or two to pick up where?","['janitor', 'clean', 'paper', 'services', 'pick']",synagogue
623,If you're celebrating with too many cocktails what may you have in the morning?,"['cocktails', 'celebrating', 'morning']",hang over
624,Danny found an old film in a sealed what?,"['film', 'danny', 'sealed', 'old']",cabinet
625,Where are you likely to find much more than a drop of blood on the floor?,"['blood', 'floor', 'drop', 'likely']",slaughter house
626,Where is the first place someone leaving the planet ends up?,"['planet', 'place', 'leaving', 'ends']",outer space
627,"The town house went right to the curb, a slot effectively made a mailbox of the what?","['mailbox', 'house', 'town', 'slot', 'curb']",front door
628,"The architect thought that a mezzanine would look good, but the planning committee rejected it.  They told the architect that they felt it was a potential hazard given the ages of the people who would be using it.  What might they be designing?","['mezzanine', 'designing', 'architect', 'planning', 'committee']",school
629,"The person wasn't bothered by the weather, she had remembered to bring her what?","['weather', 'bring', 'person', 'remembered', 'wasn']",warm coat
630,"If you want to learn about the world and understand the real reasons behind cultural norms and mores, you have achieved a sense of what?","['cultural', 'sense', 'norms', 'understand', 'world']",enlightenment
631,What is the hopeful result of going to see a play?,"['play', 'hopeful', 'result', 'going']",being entertained
632,A person would join a trade school for finding information related to what?,"['school', 'information', 'finding', 'related', 'join']",gaining knowledge
633,"Joan was a baby, so there were many things she couldn't do, which caused problems for her parents.  Name one thing that makes raising a baby difficult.","['joan', 'parents', 'difficult', 'problems', 'things']",talk nonsense
634,Where would you put some ham if you want to cook it?,"['ham', 'cook', 'want']",pizza
635,Running errands with screaming kids will likely cause what?,"['screaming', 'kids', 'errands', 'running', 'cause']",aggravation
636,"Sam wasn't lying, but he left out important details. He was being what?","['sam', 'lying', 'important', 'details', 'wasn']",deceitful
637,what does someone have that causes them committing murder?,"['murder', 'causes', 'committing', 'does']",problems
638,What kind of place has a leader?,"['leader', 'place', 'kind']",country
639,How is a person likely to communicatewith others?,"['communicatewith', 'person', 'likely']",say words
640,Where may you be if you're buying pork chops at a corner shop?,"['pork', 'chops', 'corner', 'shop', 'buying']",iowa
641,Where is a well used toy car likely to be found?,"['car', 'toy', 'used', 'likely']",
642,Where can fisherman store their rods when on a fishing trip?,"['fishing', 'fisherman', 'rods', 'store', 'trip']",fishing camp
643,Danny is having fun just dancing and singing with his friends. He wasn't concerned with things that weren't fun. For him having fun is the same as what?,"['dancing', 'fun', 'having', 'singing', 'danny']",being happy
644,Where would you find an office worker gossiping with their colleagues?,"['gossiping', 'colleagues', 'office', 'worker']",water cooler
645,Where would you put nails if they are already packaged?,"['nails', 'packaged']",cabinet
646,What is a person who is good at sports considered?,"['sports', 'person', 'good', 'considered']",talented
647,"The man acted ridiculous at the funeral, what attitude should he have taken?","['funeral', 'acted', 'attitude', 'ridiculous', 'man']",solemn
648,"The pencil sharpener was broken in the classroom, where did the teacher recommend the student go?","['classroom', 'pencil', 'sharpener', 'teacher', 'student']",library
649,Where does a child likely sit at a desk?,"['desk', 'sit', 'child', 'likely', 'does']",schoolroom
650,"He was trying to procreate with many individuals, this led to a what?","['procreate', 'individuals', 'trying', 'led']",std
651,What does playing soccer and winning lead to?,"['soccer', 'winning', 'playing', 'lead', 'does']",excitement
652,What attraction is sometimes so large that you need a map to find your way around?,"['attraction', 'map', 'large', 'need', 'way']",amusement park
653,"If my husband never helps me doing housework, what might that lead to?","['housework', 'husband', 'doing', 'helps', 'lead']",arguments
654,"The advertisement came in the form of a pop-up, where did it appear?","['advertisement', 'pop', 'appear', 'form', 'came']",web page
655,WHere do people live?,"['people', 'live']",surface of earth
656,People are what when you're a stranger?,"['stranger', 'people']",strange
657,"The juror was quite bored and zoning out but wanted to convey he was hearing testimony, so he just sat there doing what?","['juror', 'testimony', 'hearing', 'bored', 'convey']",nodding
658,"They wanted to try blowfish, so they went to get some where?","['blowfish', 'try', 'went', 'wanted']",fish market
659,When a main artery is used to expedite travel what would it be referred to as?,"['artery', 'travel', 'expedite', 'main', 'used']",thruway
660,If someone rules the universe of what are they in charge?,"['universe', 'charge', 'rules']",everything
661,"The butt was bare, and Sam couldn't stop staring at it.  It was very what?","['staring', 'butt', 'sam', 'bare', 'couldn']",ample
662,Where can many stores with clothing be found?,"['stores', 'clothing']",mall
663,"After working on the car, what did it end up doing?","['car', 'working', 'did', 'doing', 'end']",start running
664,"When an elderly person needs help performing daily tasks, who might they call?","['elderly', 'tasks', 'help', 'person', 'needs']",caregiver
665,Where is beer drank by people watching sticks and pucks?,"['beer', 'pucks', 'drank', 'watching', 'people']",hockey game
666,Where is there a telephone book in almost every room?,"['telephone', 'room', 'book']",at hotel
667,Where might you see a green field while driving?,"['green', 'driving', 'field']",countryside
668,"Some people got escorted out of the library, they were probably what?","['library', 'people', 'escorted', 'probably', 'got']",talking loudly
669,"If there is a pond with trees around it, where it it likely located?","['pond', 'trees', 'located', 'likely']",forest
670,Blowfish require what specific thing to live?,"['blowfish', 'live', 'require', 'specific', 'thing']",sea water
671,What is the least likely immediate side effect of eating hamburger?,"['hamburger', 'eating', 'immediate', 'effect', 'likely']",death
672,What would I be doing while going to work and walking?,"['walking', 'work', 'going', 'doing']",listen to radio
673,"A showroom feature washers and refrigerators, where is this showroom located?","['showroom', 'located', 'washers', 'refrigerators', 'feature']",appliance store
674,"The man often made smart remarks, like that any restaurant is a mexican restaurant where?","['restaurant', 'mexican', 'smart', 'man', 'remarks']",mexico
675,"I am looking for honey right from the source, where should I look?","['honey', 'looking', 'look', 'source', 'right']",
676,Where are there likely to be a variety of flats to choose from?,"['flats', 'variety', 'choose', 'likely']",city
677,A weasel has a thin body and short legs to easier burrow after prey in a what?,"['weasel', 'burrow', 'prey', 'legs', 'short']",rabbit warren
678,What can disease destroy?,"['disease', 'destroy']",human body
679,What does a person from Avalon live in?,"['avalon', 'person', 'live', 'does']",english house
680,Where is one likely to find a fan for their stove?,"['stove', 'fan', 'likely']",appliance store
681,Jodie felt a tightness in her chest. She was worried but didn't want to go to the hospital. Where might she go instead?,"['jodie', 'hospital', 'chest', 'felt', 'tightness']",bedroom
682,If you're buying beer for a float trip what are you preparing to do?,"['beer', 'float', 'trip', 'preparing', 'buying']",have fun
683,Piece of land in Canada where you can find marmot?,"['marmot', 'land', 'canada', 'piece']",vancouver island
684,"The surgeon's clients had begun to reduce, it seemed girls no longer want to what?","['surgeon', 'girls', 'clients', 'reduce', 'longer']",augment
685,"While waiting for this appointment, people often read magazines.","['magazines', 'appointment', 'waiting', 'read', 'people']",doctor
686,Where would you find a fox that is made up?,['fox'],storybook
687,"In basic training they build you up only to do what, all in hopes of building you up even stronger the next time?","['training', 'basic', 'stronger', 'building', 'build']",tear down
688,Billy saw a dog running from him and did his best to get away from it.  The leaped up to where the dog couldn't reach and was stuck.  Where might he have been trapped?,"['trapped', 'billy', 'dog', 'stuck', 'leaped']",table
689,"John and Judy were parents.  They had two wonderful kids who weren't always well behaved.  They were light tough, though.  They felt it was a parent's job to do what?","['judy', 'parents', 'parent', 'john', 'kids']",guide children
690,What are you playing if you're fiddling on a violin?,"['violin', 'fiddling', 'playing']",bluegrass music
691,"If somebody buys something and gives it to me as a free gift, what is the cost status of the gift?","['free', 'gift', 'cost', 'gives', 'buys']",paid for
692,Why does someone flirt with many people at once?,"['flirt', 'people', 'does']",attract attention
693,James tore the antenna off of his boat due to bad reception as he was crossing the channel from France.  Where was he going?,"['antenna', 'boat', 'james', 'channel', 'reception']",england
694,Why would a band be performing when there are no people nearby?,"['band', 'performing', 'people', 'nearby']",record album
695,The dogs were protecting their own when they decided to what the bad man?,"['dogs', 'protecting', 'bad', 'decided', 'man']",attack
696,What is used to grind wheat for bread?,"['wheat', 'bread', 'grind', 'used']",
697,If you have a large satchel with you when you fly you'll be asked to store it where?,"['satchel', 'store', 'fly', 'large', 'll']",luggage compartment
698,Where would someone keep their nylon leggings?,"['leggings', 'nylon']",drawer
699,If you spend a long time running after a ball how are you likely to feel?,"['running', 'ball', 'feel', 'long', 'time']",tiredness
700,When you need to rest it's often because you have been doing what?,"['rest', 'need', 'doing']",using energy
701,Boredom and hunger led to a wandering waste of time and a cart full of unhealthy snacks during her trip to where?,"['hunger', 'wandering', 'snacks', 'trip', 'boredom']",grocery shop
702,"He was beginning to worry they wouldn't get on the ride before closing, they had been standing in queue for a long what?","['queue', 'ride', 'closing', 'standing', 'worry']",time
703,This is an unavoidable physiological consequence of running.  What is it?,"['running', 'physiological', 'unavoidable', 'consequence']",increased heart rate
704,"Sometimes a person has a fear of water or a dislike of being wet, it is still important to make sure they are having a bath why?","['bath', 'wet', 'water', 'fear', 'dislike']",rash
705,Where would there be an auditorium with only a single person speaking?,"['auditorium', 'speaking', 'single', 'person']",university campus
706,"To get out of there the person had to keep on walking, they had to keep on what?","['walking', 'person']",moving forward
707,What very large group of western citizens has bees everywhere?,"['bees', 'western', 'citizens', 'group', 'large']",united states
708,Miss Grady took a stick from Bob because he was playing with it during class.  She wanted to make sure that he couldn't get to it so she put it where?,"['stick', 'bob', 'class', 'grady', 'playing']",desk drawer
709,How does a person begin reproducing?,"['reproducing', 'begin', 'person', 'does']",have sex
710,Joe and Jill didn't want their children to be sedentary.  They might limit the time they children spend doing what?,"['sedentary', 'children', 'jill', 'joe', 'time']",watch tv
711,"They were making sauerkraut, the instructor explained the liquid should be above the cabbage in the what?","['sauerkraut', 'cabbage', 'liquid', 'instructor', 'making']",jar
712,From where would you normally take a cup when you're about to get a drink?,"['cup', 'drink', 'normally']",kitchen cabinet
713,What are you using if there are speakers strapped on your ears?,"['speakers', 'ears', 'strapped', 'using']",headphones
714,Because of his anger he couldn't clearly explain or what?,"['anger', 'couldn', 'clearly', 'explain']",illustrate point
715,Where is likely to not just have a kosher restaurant?,"['restaurant', 'kosher', 'likely', 'just']",new york city
716,The bald eagle flew from Mount St Helen's to the Puget Sound and all over what?,"['eagle', 'puget', 'flew', 'bald', 'helen']",washington state
717,Where could you get some knives if you are planning to bring them outside with you?,"['knives', 'outside', 'bring', 'planning']",kitchen
718,How can people fulfill their own calorie requirements?,"['calorie', 'requirements', 'fulfill', 'people']",feed themselves
719,What does a stove do to the place that it's in?,"['stove', 'place', 'does']",warm room
720,What is the best way to begin going into trance?,"['trance', 'begin', 'way', 'going', 'best']",closed eyes
721,A computer user working on an important work assignment is located in what structure?,"['computer', 'work', 'working', 'assignment', 'structure']",office building
722,The music was festive but why are the horses dancing in circles,"['horses', 'dancing', 'circles', 'music', 'festive']",carnival
723,In the building where James worked there was a small mezzanine in the auditorium to make more space for seats.  Where might James work?,"['mezzanine', 'auditorium', 'james', 'seats', 'building']",theater
724,If you aren't well rested and it's a rainy day what might you do?,"['rainy', 'rested', 'day', 'aren']",stay in bed
725,Where would you have a stove if you don't live in a detached dwelling?,"['stove', 'dwelling', 'detached', 'live', 'don']",
726,What kind of place has a revolving door and has things to buy in it?,"['door', 'place', 'revolving', 'things', 'buy']",mall
727,Where can books be read?,"['books', 'read']",table
728,Where is seaweed usually found alive?,"['seaweed', 'alive', 'usually']",water
729,"If a lizard is fed by people every day, what has happened to it?","['lizard', 'people', 'day', 'fed', 'happened']",captivity
730,What will happen to someone if his or her spirits cannot elevate?,"['spirits', 'elevate', 'happen']",depress
731,"If you wanted a license to catch crabs, what government office would you go to?","['crabs', 'government', 'license', 'catch', 'office']",fish department
732,What furniture will you normally find near a side chair?,"['furniture', 'chair', 'near', 'normally']",table
733,Metal is used to make what?,"['metal', 'make', 'used']",instruments
734,What is the word added to Manchester that signifies what county it is in?,"['manchester', 'county', 'signifies', 'word', 'added']",greater manchester
735,"The program kept getting errors, the amateur end user began to what?","['program', 'errors', 'amateur', 'user', 'began']",get frustrated
736,"John knew that the sun produced a massive amount of energy in two forms.  If you were on the surface of the sun, what would kill you first?","['sun', 'energy', 'john', 'kill', 'surface']",heat
737,Lawyers often talk in front of an audience where?,"['lawyers', 'audience', 'talk']",courtroom
738,James bought a new set of tire chains and put them somewhere he could find them.  Where would he put them?,"['chains', 'tire', 'james', 'new', 'set']",garage
739,"If I wanted to eat something that is made from plants and needs to be washed, what would it be?","['plants', 'eat', 'washed', 'needs', 'wanted']",roots
740,"Ficus can be planted in a yard to make summer more bearable, what sort of areas do they create?","['ficus', 'planted', 'yard', 'areas', 'summer']",shady places
741,Children's behavior is a direct reflection of their what?,"['behavior', 'children', 'reflection', 'direct']",parents
742,Most people who are family like to greet each other with a what?,"['greet', 'family', 'people', 'like']",hug
743,John bought a new water hose.  But he found his old one near his car.  Where did he find the old one?,"['hose', 'john', 'car', 'water', 'old']",garage
744,Where is a control room needed to prevent wide spread disaster?,"['control', 'disaster', 'room', 'prevent', 'wide']",nuclear plant
745,Where do you keep your pizza slice before you eat it?,"['pizza', 'slice', 'eat']",plate
746,"Everybody was changing into costumes in the dressing room, it was almost time to take the what stage?","['stage', 'dressing', 'costumes', 'room', 'changing']",theater
747,"The homeowner frowned at the price of gas, what did he have to do later?","['gas', 'homeowner', 'frowned', 'price', 'later']",cut grass
748,"A thoroughfare meandered through fields and woods, where was it passing though?","['thoroughfare', 'meandered', 'woods', 'fields', 'passing']",country
749,"If I want a new ottoman, where should I go?","['ottoman', 'want', 'new']",furniture store
750,Sean was leaving work and took the roadway that led to his what?,"['sean', 'roadway', 'leaving', 'work', 'took']",neighborhood
751,What can you use to get a jellyfish?,"['jellyfish', 'use']",hand
752,What has a shelf that does not allow you to see what is inside of it?,"['shelf', 'inside', 'does', 'allow']",chest of drawers
753,What will likely happen after stabbing to death a person?,"['stabbing', 'death', 'person', 'happen', 'likely']",being arrested
754,"The boat passenger was explaining his fear of blowfish, but the captain figured he meant piranhas since they were on a river in the what?","['piranhas', 'blowfish', 'boat', 'river', 'passenger']",jungle
755,Where could you find only a few office?,['office'],school building
756,Where can I go to be a religious gentleman?,"['religious', 'gentleman']",church
757,"I want to see a prepared slide up close, what would I use to help?","['slide', 'prepared', 'use', 'help', 'want']",microscope
758,"Where can you buy a magazine, paper or gum?","['magazine', 'gum', 'paper', 'buy']",newsstand
759,Where would you get some wood if you do not have any?,['wood'],lumberyard
760,"The pitcher felt stress and tension on the mound, what did he feel like?","['mound', 'pitcher', 'tension', 'stress', 'felt']",hell
761,What negative effect can competing in a chess game on a cold day have?,"['cold', 'chess', 'competing', 'game', 'effect']",tension
762,Why is it hard for a young child to read a long book?,"['read', 'book', 'child', 'long', 'young']",many words
763,On a hot day what can you do to enjoy something cool and sweet?,"['hot', 'day', 'enjoy', 'sweet', 'cool']",eat ice cream
764,What is likely to be found in a book that is not a foreword?,"['foreword', 'book', 'likely']",epilogue
765,How many hours are in a day?,"['hours', 'day']",twenty four
766,Why is religion so hard to understand?,"['religion', 'understand', 'hard']",confusing
767,"The couple explained they were having trouble communicating, it seemed every conversation took great what?","['conversation', 'communicating', 'couple', 'trouble', 'explained']",effort
768,What would a person need to do if his or her captain dies at sea?,"['captain', 'sea', 'dies', 'person', 'need']",man crew
769,What do children require to grow up healthy?,"['children', 'healthy', 'grow', 'require']",need care
770,I house outside the center of a community is said to be where?,"['community', 'outside', 'house', 'center', 'said']",subdivision
771,"The field general began to write out a letter to the king, he was told to send what when the enemy was near?","['letter', 'general', 'king', 'enemy', 'write']",word
772,What will you put on a pen to prevent it from drying out?,"['pen', 'drying', 'prevent']",caps
773,"After climbing the mountains, the explored found the cave, what was the general goegraphy of the region he found it in?","['cave', 'mountains', 'explored', 'region', 'goegraphy']",rocky hills
774,"They dealt with combustible mixtures in their experiments, this is why they kept a fire extinguisher where?","['extinguisher', 'combustible', 'experiments', 'mixtures', 'kept']",chemistry lab
775,"If someone mean wanted to insult somebody by calling them a fruit, where is probably not the smartest place to do it?","['fruit', 'insult', 'place', 'mean', 'somebody']",gay bar
776,Where would you get a toothpick if you do not have any?,['toothpick'],grocery store
777,What would you be building if you designed a place for an annoying critter to stay?,"['critter', 'building', 'place', 'designed', 'annoying']",bug campers
778,"The man working in the attic swatted away a bee, but soon the single bee was an entire what?","['bee', 'attic', 'entire', 'swatted', 'working']",swarm
779,What do you need to wear when hiking?,"['hiking', 'wear', 'need']",shin splints
780,What type of store would have lots of sports equipment?,"['store', 'equipment', 'sports', 'lots', 'type']",sporting goods store
781,"The business man was promoted recently, to celebrate he went where to buy an expensive wristwatch?","['wristwatch', 'business', 'buy', 'promoted', 'celebrate']",jewelry store
782,How is a child eager to be going to play likely to get there?,"['play', 'child', 'eager', 'likely', 'going']",rush
783,There's some new buying products designed to get you money if you have none. The first step is that it will show you how to declare what?,"['declare', 'products', 'buying', 'money', 'new']",bankruptcy
784,Where can you buy a replacement ax handle?,"['handle', 'ax', 'replacement', 'buy']",hardware store
785,Is that person acting as silly as a clown?,"['clown', 'silly', 'acting', 'person']",ridiculous
786,Which group of states is Louisiana part of?,"['louisiana', 'states', 'group']",
787,Where would you put a plate immediately after eating from it?,"['plate', 'eating', 'immediately']",dishwasher
788,James couldn't get comfortable.  There was too much dirt.  He needed to clean out what?,"['dirt', 'james', 'clean', 'couldn', 'comfortable']",bed
789,"The rats were hiding in the house, where were they?","['rats', 'house', 'hiding']",cellar
790,What do people do when they don't understand something?,"['understand', 'people', 'don']",ask questions
791,James saw a kite flying in the sky.  He traced the string back to its origin and found it.  Where did the string begin?,"['kite', 'string', 'james', 'flying', 'begin']",
792,What rubber toy filled with helium will make a child happy?,"['helium', 'toy', 'rubber', 'child', 'happy']",balloon
793,Where do people get beer after a bit of gambling?,"['beer', 'gambling', 'people', 'bit']",casino
794,What can happen to you when you are using television and it is not interesting?,"['television', 'using', 'interesting', 'happen']",fall asleep
795,"The business men left the discussion in the dressing room, now they just wanted to relax in the sauna of the what?","['sauna', 'room', 'men', 'business', 'dressing']",bathhouse
796,Where is a likely place for an ivy plant?,"['ivy', 'plant', 'place', 'likely']",outside
797,Where has the newest baseball stadium?,"['stadium', 'baseball', 'newest']",phoenix
798,What type of residence has a ground floor with a stoop?,"['residence', 'floor', 'stoop', 'ground', 'type']",brownstone
799,If the wood texture is not smooth it is what?,"['wood', 'texture', 'smooth']",porous
800,What might happen if someone is not losing weight?,"['weight', 'losing', 'happen']",death
801,"Billy lived in the capital of his country, then he moved.  Where might he move to?","['billy', 'capital', 'country', 'moved', 'lived']",small town
802,"Making a schedule was easy to pick, the major called for knowledge that required a certain what?","['schedule', 'knowledge', 'major', 'making', 'pick']",class
803,"When getting in shape, this is something that does wonders?","['shape', 'does', 'wonders', 'getting']",jogging
804,What could prevent a driving car from continuing to drive?,"['driving', 'car', 'drive', 'continuing', 'prevent']",automobile accidents
805,Where do you store a large container?,"['container', 'store', 'large']",cabinet
806,What is a person likely to experience after they stop being married to a mean person?,"['mean', 'married', 'person', 'experience', 'stop']",happiness
807,"Despite the large crowds, how did the depressed man feel?","['crowds', 'depressed', 'feel', 'large', 'man']",solitary
808,Where does a maid empty a trash can?,"['maid', 'trash', 'does']",motel
809,"The dog curled up for a nap, it was tuckered out because it had just been what?","['dog', 'nap', 'tuckered', 'curled', 'just']",walked
810,"He used an umbrella while tanning, where was he likely?","['umbrella', 'tanning', 'likely', 'used']",beach
811,What do the feathers look like on birds found in the rainforest?,"['feathers', 'birds', 'rainforest', 'look', 'like']",very colorful
812,The ancient seafaring Norse tribesman brought pelts of weasel aboard his what?,"['pelts', 'norse', 'seafaring', 'weasel', 'tribesman']",viking ship
813,What is the opposite of an area of elevation?,"['elevation', 'area', 'opposite']",depression
814,What do singers need to do before a show?,"['singers', 'need']",warm up
815,"When a person with mental illness receives medication and therapy, what has happened?","['therapy', 'medication', 'illness', 'mental', 'receives']",effectively treated
816,What type of feeling is performing for the first time likely to produce?,"['performing', 'feeling', 'likely', 'time', 'produce']",anxiety
817,"If someone is found to be committing murder, what did they do to someone?","['murder', 'committing', 'did']",kill
818,"The computer was hooked up to the internet, what could it do as a result?","['computer', 'internet', 'result', 'hooked']",receive data
819,The planet Mercury is unsuitable for human life or what?,"['mercury', 'planet', 'unsuitable', 'life', 'human']",uninhabitable
820,"Seeing idea become reality was a dream of hers for a long time, but as the time came to get on stage she had more what?","['stage', 'dream', 'time', 'reality', 'seeing']",anxiety
821,A creek could be located in the opposite for the city which is called what?,"['creek', 'city', 'located', 'opposite', 'called']",countryside
822,Where off the eastern U.S. would you find an anemone?,"['anemone', 'eastern']",florida keys
823,Where are traveling clothes often kept?,"['clothes', 'traveling', 'kept']",suitcase
824,"If one needed the bathroom they needed a key, to get it they had to also buy something from the what?","['bathroom', 'key', 'needed', 'buy']",convenience store
825,"Although the sun did rise, what did the pessimist warn everyone it would do?","['sun', 'pessimist', 'warn', 'rise', 'did']",go down
826,"The hardcovers were especially tall, so he removed a shelf on the what to make room?","['shelf', 'hardcovers', 'tall', 'room', 'make']",bookcase
827,If you're watching a comedy film what would you expect to hear from the audience?,"['comedy', 'audience', 'film', 'expect', 'watching']",laughter
828,What can eating lunch cause that is painful?,"['lunch', 'eating', 'painful', 'cause']",heartburn
829,"The performer was ready to put on a show and stepped onto the launch platform, what was his job?","['performer', 'launch', 'job', 'stepped', 'platform']",trapeze
830,"Eating is part of living, but your body doesn't use it all and the next day you will be doing what?","['eating', 'living', 'body', 'use', 'day']",defecating
831,Where are you if you've paid to get a pizza?,"['pizza', 'paid', 've']",restaurant
832,What would you use to find a place to stay?,"['place', 'stay', 'use']",phone book
833,"If you're seeking a connection for your laptop, what are you trying to hook up with?","['connection', 'laptop', 'seeking', 'hook', 'trying']",computer network
834,"The child didn't know the problems his mother was going through, all he had was what for her?","['mother', 'child', 'problems', 'didn', 'know']",loved
835,To see new films you must?,"['films', 'new']",go to movies
836,What can happen when you contemplate alone for a long time?,"['contemplate', 'long', 'time', 'happen']",daydream
837,"The pioneer went to the general store for storage measures, what was he looking for?","['storage', 'store', 'pioneer', 'measures', 'general']",barrels
838,"I was apprehensive to buy the expensive equipment to play a game with so much walking and swinging around in grass, but now I understand why people what?","['equipment', 'play', 'grass', 'swinging', 'expensive']",play golf
839,What can a newspaper be used to do to an engagement?,"['newspaper', 'engagement', 'used']",announce
840,"John needed a straight wire.  Unfortunately, this one had endured some abuse and had become what?","['wire', 'john', 'straight', 'abuse', 'endured']",bent
841,Metal is taken from what which is pulled from the ground?,"['metal', 'ground', 'pulled', 'taken']",ore
842,When not in use where on your property would you store you bucket?,"['bucket', 'store', 'property', 'use']",garden shed
843,What does someone do to relax at night?,"['relax', 'night', 'does']",go to bed
844,Where might the stapler be if I cannot find it?,['stapler'],desk drawer
845,Many homes in this country are built around a courtyard. Where is it?,"['courtyard', 'homes', 'country', 'built']",spain
846,"Sean was a wreck.  He  loved to build houses, but in his current state, he couldn't do what?","['sean', 'houses', 'wreck', 'build', 'couldn']",construct
847,What would be happening if you are pretending to be a police officer?,"['officer', 'police', 'pretending', 'happening']",deception
848,Where would you buy a finely crafted writing instrument?,"['instrument', 'writing', 'crafted', 'finely', 'buy']",stationery store
849,"The detective was finding information from witnesses, why would he do that?","['detective', 'witnesses', 'information', 'finding']",get answers
850,Joe found spiders in the place where he keeps his tools.  Where might that be?,"['spiders', 'tools', 'joe', 'place', 'keeps']",garage
851,"While on the fan boat he thought he'd see swamps and gators, but he was surprised to spot a bald eagle in what nature area?","['eagle', 'swamps', 'boat', 'gators', 'nature']",everglades
852,Where are you likely to find a supermarket?,"['supermarket', 'likely']",city or town
853,Where would you need to use a lantern?,"['lantern', 'use', 'need']",dark place
